Article,Journal
9603138,Nucl.Phys.
11131,JHEP
9404149,Nucl.Phys.
6146,Class.Quant.Grav.
9906158,Int.J.Mod.Phys.
9909137,Nucl.Phys.
9507003,Phys.Lett.
205302,Phys.Lett.
9309137,Int.J.Mod.Phys.
9705129,Nucl.Phys.
9410004,Phys.Lett.
9801060,Nucl.Phys.
9303151,Int.J.Mod.Phys.
9202046,Nucl.Phys.
4058,Phys.Lett.
9209130,Phys.
207106,Nucl.Phys.
205170,JHEP
9302032,Phys.
9806151,Int.J.Theor.Phys.
9704165,Phys.Lett.
1199,JHEP
209022,J.Math.Phys.
9706070,Annals
9402129,Phys.Rev.
107143,Phys.Rev.Lett.
106257,Phys.Rev.
9710007,JHEP
9912121,Fortsch.Phys.
9811091,Phys.Rev.
9809043,Nucl.Phys.
9225,Phys.Lett.
201256,JHEP
8173,JHEP
9909068,Phys.Lett.
1195,Mod.Phys.Lett.
9501017,Nucl.Phys.
101153,Nucl.Phys.
4078,Nucl.Phys.
203030,JHEP
12137,Phys.Rev.
9608047,Nucl.Phys.
9612129,Nucl.Phys.
9705183,Nucl.Phys.
9803140,Nucl.Phys.
9912226,Phys.Lett.
9804022,Phys.Lett.
9705180,J.Phys.
9606181,Commun.Math.Phys.
9707019,Nucl.Phys.
9505070,Phys.Rev.
9408042,Lett.Math.Phys.
9412169,Mod.
9810239,Phys.Lett.
111150,JHEP
212025,JHEP
9503061,Phys.Rev.
9601173,Nucl.Phys.Proc.Suppl.
12110,Fortsch.Phys.
5210,Class.Quant.Grav.
111118,Mod.Phys.Lett.
9808046,Phys.Lett.
9409072,Phys.
106076,Phys.Rev.
9610075,Nucl.Phys.Proc.Suppl.
102106,Phys.Lett.
9206045,Mod.
9403093,Lett.Math.Phys.
9906188,JHEP
106254,Phys.Lett.
11119,Phys.Lett.
9609195,Phys.Lett.
9705039,J.Phys.
9812087,JHEP
9406057,Phys.Lett.
9708041,Nucl.Phys.
9408057,Phys.Rev.
9512147,Nucl.Phys.
9802185,Commun.Math.Phys.
9309123,Phys.Rev.Lett.
9604010,Nucl.Phys.
109028,Mod.Phys.Lett.
9903042,JHEP
9506103,Nucl.Phys.
9708092,J.Phys.
9708127,Phys.Rev.
9303100,Int.
9403160,Phys.Rev.
9502057,Nucl.Phys.
9302088,Phys.Lett.
9902073,JHEP
9610218,Phys.Rev.
9611042,Phys.Lett.
9505004,Phys.Lett.
9506083,Nuovo
9612162,Phys.Lett.
110134,Nucl.Phys.
9609137,Int.J.Mod.Phys.
9206046,Phys.Lett.
4162,Phys.Rev.
9911074,Phys.Rev.
9601052,Nucl.Phys.
5010,Phys.Rev.
3099,Int.J.Mod.Phys.
9806221,Phys.Lett.
5122,Phys.Lett.
203236,Nucl.Phys.
107076,Int.J.Mod.Phys.
9907120,Nucl.Phys.
111102,JHEP
206204,Class.Quant.Grav.
9911007,Nucl.Phys.
9704137,Phys.Rev.
9311160,Phys.Lett.
9506010,J.Math.Phys.
9808178,Phys.Lett.
112168,J.Phys.
9610054,Int.J.Mod.Phys.
9303081,Mod.Phys.Lett.
9207029,Int.J.Mod.Phys.
9603155,Phys.
9404008,Phys.Rev.
9208033,J.Math.Phys.
9712047,Nucl.Phys.
9505079,J.Phys.
9606152,Phys.Rev.
12122,Int.J.Mod.Phys.
9409089,J.Math.Phys.
9707079,Adv.Theor.Math.Phys.
9301077,J.Math.Phys.
1111,JHEP
9210103,Phys.Rev.Lett.
9706048,Phys.Rev.
9310023,Phys.Lett.
9706049,Int.J.Mod.Phys.
9503123,Phys.Lett.
9801110,Nucl.Phys.
106240,Phys.Rev.
9705104,Nucl.Phys.
9706154,Phys.Lett.
9504145,Nucl.Phys.
107226,Phys.Rev.
9901145,Phys.Lett.
9412233,Phys.Lett.
9211112,Int.
108169,JHEP
9508061,Int.J.Mod.Phys.
9803031,Nucl.Phys.
9509151,Nucl.Phys.Proc.Suppl.
9901120,Int.J.Mod.Phys.
9911084,JHEP
9712087,Phys.Lett.
101197,Phys.Rev.
9507062,Mod.
9209024,Phys.Lett.
9708113,Phys.Rev.
9803019,Phys.Lett.
9803058,Nucl.Phys.
9808037,Phys.Rev.
9908102,Phys.Rev.
9607150,Phys.Rev.
9604050,Phys.Lett.
9810213,JHEP
9809195,Phys.Rev.
9909198,Phys.Lett.
9811157,Mod.Phys.Lett.
9405190,Phys.Lett.
9409097,Phys.Lett.
9905176,Nucl.Phys.
9509055,Phys.Rev.
9509135,Nucl.Phys.
9906213,Phys.Lett.
107040,Phys.Lett.
9709129,Nucl.Phys.
203175,JHEP
5028,JHEP
203251,Phys.Rev.
9210120,Mod.
9506170,Phys.Lett.
9705014,Mod.Phys.Lett.
9506194,Phys.Lett.
9801055,Phys.Lett.
9707056,Phys.Lett.
9809001,Commun.Math.Phys.
9607076,Phys.Lett.
9911114,Int.
9406152,Phys.
203168,JHEP
9502137,Phys.
9307118,Mod.
9806106,Nucl.Phys.
207061,Phys.Rev.
201199,J.Math.Phys.
9905108,Theor.Math.Phys.
9705128,Nucl.Phys.
9401103,Commun.Math.Phys.
9506167,J.Phys.
9610226,Phys.Lett.
9303058,Phys.Rev.
9908065,Phys.Lett.
9807128,Phys.Rev.
9811028,JHEP
9902013,J.Phys.
9808113,Nucl.Phys.
9702018,Nucl.Phys.Proc.Suppl.
9508161,Int.J.Theor.Phys.
9411013,Phys.Lett.
9812184,JHEP
7216,Phys.Rev.
9406210,Phys.Rev.Lett.
1031,Phys.Lett.
4049,Commun.Math.Phys.
9312171,Nucl.Phys.
9404123,Phys.Lett.
9601014,Nucl.Phys.
203014,Phys.Lett.
9611057,Acta
9905116,Phys.Rev.
9602059,Phys.Lett.
9411061,Phys.Rev.
9806032,Nucl.Phys.
9509017,Nucl.Phys.Proc.Suppl.
9602113,J.Math.Phys.
109014,Annals
9303108,Phys.
204201,Nucl.Phys.
105190,Phys.Lett.
9711175,Phys.Lett.
9801073,Phys.Rev.
203228,Phys.Lett.
9203079,Phys.Rev.Lett.
9205043,Phys.Rev.
9302090,Phys.Lett.
9605115,Nucl.Phys.
9407008,Phys.Rev.
9712186,Nucl.Phys.
9806028,JHEP
105009,Phys.Lett.
9503072,Phys.
107239,Nucl.Phys.
9703147,Phys.Lett.
9406084,J.Phys.
9711124,Nucl.Phys.
105308,JHEP
107086,Phys.Rev.
9602162,Phys.Lett.
9210158,Phys.Rev.Lett.
112044,Nucl.Phys.
9812081,Phys.Rev.
9305010,Nucl.Phys.
9903185,Acta
9303122,Nucl.
9904004,Prog.Theor.Phys.
9811041,Nucl.Phys.
9401069,Nucl.Phys.
9707213,Int.J.Mod.Phys.
9604170,Prog.Theor.Phys.
105052,Mod.Phys.Lett.
9804180,Phys.Lett.
9406002,Class.Quant.Grav.
9702067,Nucl.Phys.
9202054,Phys.Rev.
9811229,Mod.Phys.Lett.
111054,Phys.Lett.
9603140,Phys.Lett.
9604092,J.Math.Phys.
9801104,Phys.Lett.
9909021,Nucl.Phys.
111115,Phys.Rev.
9706193,J.Phys.
107119,JHEP
9611047,Nucl.Phys.
9611208,Nucl.Phys.Proc.Suppl.
212023,Phys.Lett.
8235,Phys.Rev.
9707014,Adv.Theor.Math.Phys.
6159,JHEP
204170,JHEP
9710021,Nucl.Phys.
208095,Phys.Rev.
9910037,Adv.Theor.Math.Phys.
9903103,Phys.Lett.
8063,Commun.Math.Phys.
9609033,Prog.Theor.Phys.
9606140,Nucl.Phys.
9909134,Phys.Rev.
12153,Nucl.Phys.
9311139,Mod.
9803080,Phys.Rev.
9410219,Phys.Rev.
9705165,Phys.Lett.
9804209,Phys.Lett.
202180,Nucl.Phys.
104098,Phys.Lett.
9911105,Nucl.Phys.
9406217,Phys.Lett.
207083,Phys.Rev.
9810153,JHEP
9609041,Nucl.Phys.
9909199,Phys.Lett.
10200,Phys.Lett.
9402042,Phys.Lett.
9708065,Phys.Lett.
7249,Nucl.Phys.
3103,Nucl.Phys.
9806138,Eur.Phys.J.
9212147,J.Phys.
9306030,Int.
105277,Nucl.Phys.
9308117,Nucl.Phys.
103100,Adv.Theor.Math.Phys.
9605215,Phys.Rev.
4059,Phys.Rev.
9601130,Int.J.Mod.Phys.
9911104,JHEP
9310047,Phys.
104009,Phys.Rev.
9303028,J.Math.Phys.
9803213,Theor.Math.Phys.
107250,Phys.Rev.Lett.
9709098,Phys.Lett.
108188,J.Phys.
9409179,Phys.Rev.
9206076,Phys.Lett.
9803195,Phys.Rev.
9612186,J.Math.Phys.
9705034,Mod.Phys.Lett.
9402004,Phys.Rev.
202009,Class.Quant.Grav.
9404180,Nucl.Phys.
9703209,Phys.Lett.
9805220,Nucl.Phys.
9801063,Phys.Rev.
9906123,Phys.Lett.
9711125,Phys.Lett.
9805088,Phys.Rev.
8090,JHEP
9809017,J.Phys.
9708081,Class.Quant.Grav.
205282,Phys.Lett.
9402084,Phys.Lett.
9306117,Phys.Rev.
9707253,Phys.Rev.
9411020,Nucl.Phys.Proc.Suppl.
9604086,Int.J.Mod.Phys.
9411034,Lett.Math.Phys.
9705108,Phys.Lett.
9812207,Nucl.Phys.
9807210,JHEP
112110,Phys.Rev.
9505093,Int.J.Mod.Phys.
105284,JHEP
9101,JHEP
9224,JHEP
9212095,Mod.Phys.Lett.
9208011,Nucl.
10101,Phys.Rev.
9505115,Phys.Lett.
9807038,Phys.Rev.
9712234,Nuovo
9910065,Class.Quant.Grav.
10066,Prog.Theor.Phys.
9808052,Phys.Lett.
9708011,Phys.Rev.
108043,J.Geom.Phys.
9506068,J.Math.Phys.
201191,Phys.Lett.
9409014,Phys.Lett.
9905018,JHEP
9205084,Nucl.
9207072,Int.J.Mod.Phys.
203074,JHEP
9704083,Int.J.Mod.Phys.
9903188,Phys.Rev.Lett.
9809125,Phys.Lett.
9905156,Phys.Rev.
1122,Phys.Rev.
105309,JHEP
109054,JHEP
10191,Phys.Rev.
9501092,J.Math.Phys.
9505155,J.Geom.Phys.
103222,Nucl.Phys.
9704162,Phys.Rev.
208061,Phys.Lett.
9202061,Nucl.Phys.
9504061,Nucl.Phys.
9804054,Int.J.Mod.Phys.
211020,JHEP
9605208,Nucl.Phys.
9904054,JHEP
9512021,Phys.Lett.
9801121,Phys.Lett.
9710035,Phys.Lett.
9407051,Phys.Rev.Lett.
11265,Int.J.Theor.Phys.
9901069,Adv.Theor.Math.Phys.
9812023,Phys.Rev.
201200,Phys.Rev.
9909226,Phys.Lett.
4203,Phys.Lett.
9202020,Phys.Lett.
9709209,Nucl.Phys.Proc.Suppl.
11122,Nucl.Phys.
101046,Theor.Math.Phys.
111025,JHEP
9702180,Nucl.Phys.
205007,Fortsch.Phys.
9702037,Phys.Lett.
9410230,Phys.Rev.
204188,J.Phys.
9803235,Phys.Rev.
9083,Phys.Rev.
10113,Phys.Lett.
9902154,Phys.Rev.
11283,Int.J.Mod.Phys.
9502029,Nucl.
9910008,Int.J.Mod.Phys.
9606118,Phys.Lett.
9701011,Nucl.Phys.
202113,J.Phys.
9310093,Phys.
9903062,Phys.Rev.
105227,JHEP
9503131,Phys.Rev.
203025,JHEP
9805070,Phys.Lett.
9503017,Int.J.Mod.Phys.
9909183,Mod.Phys.Lett.
9210122,Int.J.Mod.Phys.
210229,JHEP
106051,Prog.Theor.Phys.
9706159,J.Phys.
106150,Nucl.Phys.
9211093,Phys.Lett.
9206006,Phys.Rev.
9808024,Nucl.Phys.
9507008,Phys.Lett.
8168,Nucl.Phys.
9902113,Phys.Lett.
9303163,Phys.Rev.Lett.
7222,Class.Quant.Grav.
9611073,J.Geom.Phys.
112206,JHEP
9902210,JHEP
9210106,Nucl.Phys.
9901039,Phys.Rev.
9201035,Nucl.Phys.
106205,JHEP
9710006,Int.J.Mod.Phys.
9201001,Int.J.Mod.Phys.
6036,Nucl.Phys.
9712096,Phys.Rev.
9503116,Phys.
8226,JHEP
9503175,Phys.Rev.
9706129,Class.Quant.Grav.
9204051,Phys.
9909172,JHEP
9608118,Phys.Lett.
9410223,Nucl.Phys.
9509088,Int.
9609009,Phys.Rev.
110053,Phys.Lett.
9810253,JHEP
9312050,J.Math.Phys.
210241,Nucl.Phys.
9308017,Int.
9806234,Phys.Lett.
102212,Phys.Lett.
9210104,J.Phys.
9501124,Phys.Rev.
9312148,J.Phys.
9709148,Phys.Lett.
112220,JHEP
201070,Nucl.Phys.
11281,JHEP
9605174,Mod.Phys.Lett.
9903222,Phys.Rev.
8108,JHEP
104007,Phys.Rev.
4090,Phys.Lett.
9907019,J.Math.Phys.
9702191,Int.J.Mod.Phys.
110260,Phys.Rev.Lett.
9902135,Phys.Rev.
204005,Class.Quant.Grav.
9302109,Phys.Rev.
9607178,Int.J.Mod.Phys.
9909014,Eur.Phys.J.
9610155,Phys.Rev.
9709074,Class.Quant.Grav.
203134,JHEP
9911252,Mod.Phys.Lett.
9206083,Phys.Lett.
9307104,Annals
1131,Phys.Rev.
9512099,Nuovo
9907197,Phys.Rev.
9307093,Nucl.
9903132,JHEP
9810220,Phys.Rev.Lett.
9707250,Nucl.Phys.
2175,Nucl.Phys.
9302008,Phys.Lett.
108228,Lett.Math.Phys.
206185,Phys.Lett.
5196,Prog.Theor.Phys.
105169,Phys.Lett.
9806133,Phys.Rev.
11061,Int.J.Mod.Phys.
108028,JHEP
6091,Nucl.Phys.
9307034,Phys.Rev.
9809174,Phys.Rev.
9412166,Nucl.Phys.
2028,Nucl.Phys.
104071,Phys.Rev.
9906100,Phys.Lett.
101222,Phys.Rev.
9711036,Adv.Theor.Math.Phys.
101224,Theor.Math.Phys.
9705142,Lett.Math.Phys.
9805123,Nucl.Phys.
208228,Annals
9505026,Mod.Phys.Lett.
9312021,Phys.Rev.
9107,Nucl.Phys.
5060,Phys.Lett.
9705148,Phys.Rev.
9612100,J.Geom.Phys.
9501073,Phys.Rev.
10055,Class.Quant.Grav.
10241,JHEP
9706030,Phys.Rev.
9406203,Int.J.Mod.Phys.
6168,Phys.Lett.
9504075,Mod.
9907191,Commun.Math.Phys.
9707088,Phys.Rev.
9505134,Mod.
9309092,Phys.
9304091,Int.J.Mod.Phys.
101110,Int.J.Mod.Phys.
9802066,Annals
9909110,JHEP
109166,Phys.Rev.
9706147,J.Phys.
9411189,J.Math.Phys.
5030,Prog.Theor.Phys.
210078,JHEP
105115,Phys.Rev.
9701021,Phys.Rev.
9906040,JHEP
107074,JHEP
9308119,Mod.Phys.Lett.
9209063,Nucl.Phys.
3102,JHEP
9306135,Nucl.Phys.
111149,Mod.Phys.Lett.
9612252,Commun.Math.Phys.
8236,Nucl.Phys.Proc.Suppl.
4117,Phys.Rev.
9410078,Phys.Rev.Lett.
9306012,Mod.Phys.Lett.
9704157,Nucl.Phys.
9807172,JHEP
9809130,Phys.Lett.
9506043,Phys.Rev.
9904116,Nucl.Phys.
9602141,Phys.Lett.
9407053,J.Math.Phys.
9903164,Nucl.Phys.
9210145,Phys.Rev.
9811036,Phys.Rev.
9207083,Phys.Rev.
9410048,J.Phys.
9601027,Class.Quant.Grav.
9403039,Commun.Math.Phys.
4149,Class.Quant.Grav.
104211,JHEP
105254,Nucl.Phys.
9302103,Nucl.Phys.
9401020,Phys.Rev.
9605127,Nucl.Phys.
9209047,Theor.Math.Phys.
9509153,Int.J.Mod.Phys.
303214,JHEP
9902006,Phys.Rev.
9707231,J.Phys.
9803161,Phys.Lett.
111100,Int.J.Mod.Phys.
9609217,Nucl.Phys.Proc.Suppl.
107146,Lett.Math.Phys.
9607093,Nucl.Phys.Proc.Suppl.
9607077,Phys.Rev.
9806012,Phys.Lett.
9305128,Phys.
9608124,Phys.Rev.
9312156,Nucl.Phys.
9808159,Fortsch.Phys.
9308073,Nucl.Phys.
5187,Int.J.Mod.Phys.
9510185,J.Phys.
101205,Int.J.Mod.Phys.
9903194,Phys.Rev.
9911189,Nucl.Phys.
302039,Phys.Rev.
3255,Annals
9710101,J.Phys.
208214,Phys.Lett.
9607151,Phys.Lett.
9908154,Phys.Rev.
9810022,Commun.Math.Phys.
9907147,Nucl.Phys.
9707214,Adv.Theor.Math.Phys.
8071,J.Phys.
9501105,Phys.
9504019,Phys.Rev.
9704021,Phys.Lett.
105042,Int.J.Mod.Phys.
9402108,Nucl.Phys.
9709158,Phys.Rev.
9412218,Phys.Rev.
12030,Phys.Rev.
9806235,JHEP
9812007,JHEP
9808075,Phys.Rev.
9907046,Nucl.Phys.
12239,Nucl.Phys.
9609218,Phys.Lett.
111203,Phys.Lett.
9610030,Nucl.Phys.
3269,Phys.Lett.
9811139,Nucl.Phys.
9912153,JHEP
103056,JHEP
111012,Nucl.Phys.
104113,JHEP
9908103,Lett.Math.Phys.
108009,Nucl.Phys.
9907135,J.Phys.
9308075,Class.Quant.Grav.
9307131,Phys.Rev.
9403179,Nucl.Phys.
9209061,Int.J.Mod.Phys.
9212005,J.Phys.
9602132,Phys.Lett.
9411058,Int.J.Mod.Phys.
9306023,Mod.Phys.Lett.
9503118,Int.J.Mod.Phys.
9251,JHEP
9810249,Int.J.Mod.Phys.
9807218,Phys.Lett.
204261,Nucl.Phys.
9201005,Mod.
101103,Phys.Rev.
9503219,Phys.Rev.
9706038,Nucl.Phys.
9805050,Class.Quant.Grav.
5248,Nucl.Phys.
207253,JHEP
9607120,Nucl.Phys.
9912079,Nucl.Phys.
9510180,Phys.Rev.
9305138,Mod.
9705205,Phys.Rev.
9510053,Phys.Rev.
9610081,Int.J.Mod.Phys.
9811168,JHEP
10280,Class.Quant.Grav.
5161,Nucl.Phys.
105289,Theor.Math.Phys.
9912010,Prog.Theor.Phys.
107248,J.Math.Phys.
110082,Class.Quant.Grav.
205064,Phys.Rev.
9902114,Commun.Math.Phys.
9901078,Phys.Lett.
6068,Phys.Rev.Lett.
9910154,Phys.Rev.
9409116,J.Math.Phys.
1151,Nucl.Phys.
9908181,Phys.Rev.
9403180,Mod.Phys.Lett.
9610003,Phys.Rev.
5136,Nucl.Phys.
9503234,Nuovo
9612213,Phys.Lett.
201178,JHEP
203051,JHEP
206162,JHEP
9910084,Mod.Phys.Lett.
9801152,Phys.Rev.
11107,Nucl.Phys.
9511059,Mod.Phys.Lett.
9804094,Phys.Rev.
9707164,Nucl.Phys.
10252,JHEP
9207058,Phys.Lett.
9609029,Prog.Theor.Phys.
9404001,Int.J.Theor.Phys.
6235,Phys.Rev.
5224,Phys.Lett.
9407142,J.Phys.
205012,Nucl.Phys.
9166,Mod.Phys.Lett.
2234,Mod.Phys.Lett.
204125,JHEP
9909184,Nucl.Phys.
9601082,Phys.Lett.
9805201,Nucl.Phys.
110264,Phys.Lett.
9705017,Phys.Rev.
9906026,Nucl.Phys.
9903139,Fortsch.Phys.
9909015,Phys.Rev.
9709140,Phys.Lett.
9907116,JHEP
9903242,JHEP
9604014,Phys.Lett.
109131,Prog.Theor.Phys.
9402066,Phys.Rev.
9408128,Phys.Lett.
9902126,Phys.Lett.
9805077,Phys.Lett.
9201032,Phys.
6098,Nucl.Phys.
9707041,Mod.Phys.Lett.
9702008,Phys.Lett.
209244,JHEP
9307123,Nucl.Phys.
9710084,J.Math.Phys.
9208067,Int.J.Mod.Phys.
9503038,Phys.
9912092,Commun.Math.Phys.
6139,JHEP
9310118,Nucl.Phys.
9611061,Phys.Rev.
3051,JHEP
9302115,Phys.Lett.
9905051,Phys.Lett.
9308152,Phys.
9608195,Phys.Lett.
9611046,Phys.Lett.
9904043,Phys.Rev.
9812223,Prog.Theor.Phys.
9912214,Nucl.Phys.
9701126,Nucl.Phys.
9607071,Nucl.Phys.
106165,Phys.Rev.
9411024,Mod.
9710100,Class.Quant.Grav.
9209044,Commun.Math.Phys.
9305006,Class.Quant.Grav.
9311123,J.Phys.
9707043,Mod.Phys.Lett.
9701120,Phys.Rev.
112033,Phys.Rev.
9701182,Phys.Rev.
9410136,Phys.Rev.
9503013,Phys.Lett.
12258,JHEP
9710126,Nucl.Phys.
9505102,Int.J.Mod.Phys.
9707022,Mod.Phys.Lett.
9206001,J.Phys.
9409041,Phys.Lett.
210095,JHEP
210114,Phys.Lett.
102193,Phys.Rev.
209020,J.Phys.
9908069,Mod.Phys.Lett.
9701049,Class.Quant.Grav.
9703141,Phys.Lett.
9407060,Phys.Lett.
9812229,Nucl.Phys.
9191,JHEP
9408089,Annals
9902118,JHEP
9212051,J.Math.Phys.
9901139,JHEP
9912053,JHEP
9212018,Phys.
9403120,Phys.Lett.
9307108,Nucl.
206050,JHEP
3013,Prog.Theor.Phys.
203065,Int.
9504120,Mod.Phys.Lett.
207164,Phys.Rev.
9612242,Mod.Phys.Lett.
104017,JHEP
105219,Phys.Rev.
9304084,Phys.Lett.
9905122,Phys.Lett.
107054,Mod.Phys.Lett.
8047,Phys.Lett.
9911222,Nucl.Phys.
9805069,Nucl.Phys.
112114,Nucl.Phys.
9208050,Mod.Phys.Lett.
9807209,Int.J.Theor.Phys.
104153,Eur.Phys.J.
9405131,J.Phys.
201134,J.Phys.
9805144,Phys.Rev.Lett.
9612207,Phys.Rev.
9807020,Phys.Lett.
9905066,Phys.Lett.
9404183,Int.J.Mod.Phys.
5256,JHEP
110093,JHEP
9206054,Phys.
9808100,Int.J.Mod.Phys.
9406151,Z.Phys.
9312128,Phys.
206058,Phys.Rev.
9303040,Phys.Lett.
9312014,Class.Quant.Grav.
9301008,Mod.Phys.Lett.
2007,Class.Quant.Grav.
9406192,Phys.Lett.
9512038,J.Math.Phys.
9806203,Phys.Rev.
11085,Phys.Lett.
203274,Phys.Rev.Lett.
209046,JHEP
9511103,Phys.Rev.
9604117,Commun.Math.Phys.
9601009,Phys.Lett.
9701014,Mod.Phys.Lett.
110229,Phys.Rev.
201136,JHEP
9409138,J.Phys.
201197,JHEP
9501145,J.Math.Phys.
9806115,Nucl.Phys.
202142,Int.J.Mod.Phys.
9503207,Phys.Lett.
9307136,Phys.
9601072,Nucl.Phys.
9802159,Phys.Rev.
9702043,Phys.Lett.
103235,JHEP
9803201,JHEP
9707082,J.Phys.
9503020,Nucl.Phys.
202205,Int.J.Mod.Phys.
9803023,Nucl.Phys.
9712241,Commun.Math.Phys.
112014,Phys.Lett.
9906243,Nucl.Phys.
9711005,JHEP
9612061,Phys.Rev.
107101,JHEP
204149,Phys.Rev.
9306163,Nucl.Phys.
9902099,Phys.Lett.
9612154,Int.J.Mod.Phys.
9606163,Commun.Math.Phys.
5254,J.Phys.
9503009,Mod.Phys.Lett.
109184,Int.J.Mod.Phys.
9711092,J.Phys.
209019,J.Phys.
9402112,Phys.Lett.
9703165,Phys.Rev.
9807040,Nucl.Phys.
9305110,Nucl.
9607145,Phys.Lett.
9909030,J.Geom.Phys.
9405008,Nucl.Phys.
